Language,ALL,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden
Portuguese,0.05,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.07,0.04,0.0,0.02,0.0,0.0,0.0,0.24,0.01,0.0,0.0,0.01,0.0,1.0,0.0,0.01,0.0,0.0,0.0
Romanian,0.04,0.01,0.02,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Romany,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Russian,0.06,0.02,0.22,0.23,0.0,0.06,0.81,0.02,0.03,0.01,0.01,0.02,0.02,0.07,0.94,0.73,0.01,0.05,0.02,0.0,0.04,0.11,0.0,0.02,0.02,0.23,0.06,0.02
Sami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sardinian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbian/Bosnian/Montenegrin,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.29,0.0,0.0,0.0
Slovak,0.02,0.0,0.01,0.27,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
Slovenian,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.98,0.0,0.0,0.0
Spanish,0.22,0.14,0.05,0.04,0.12,0.16,0.03,0.13,0.05,0.99,0.23,0.03,0.17,0.02,0.03,0.02,0.16,0.07,0.05,0.11,0.07,0.02,0.2,0.09,0.05,0.04,0.06,0.11
Swedish,0.04,0.0,0.0,0.0,0.19,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.63,0.99
Turkish,0.02,0.02,0.11,0.01,0.0,0.05,0.0,0.0,0.05,0.0,0.02,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0
Ukrainian,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01
Yiddish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
